epoch,train_mse,epoch_s
1,13.083057,1.293
2,7.461630,0.115
3,4.180363,0.113
4,3.712529,0.111
5,3.394787,0.112
6,3.154882,0.115
7,2.964417,0.112
8,2.792662,0.113
9,2.627233,0.111
10,2.456763,0.120
11,2.274698,0.118
12,2.076328,0.114
13,1.856005,0.114
14,1.615995,0.112
15,1.369029,0.111
16,1.133505,0.111
17,0.928744,0.109
18,0.762971,0.110
19,0.636134,0.112
20,0.540619,0.111
21,0.470787,0.111
22,0.416713,0.112
23,0.373657,0.112
24,0.339730,0.114
25,0.312127,0.112
26,0.290320,0.112
27,0.271565,0.117
28,0.255623,0.114
29,0.241430,0.114
30,0.228443,0.111
